Year: 2020 | AvgRet: -0.34% | AvgHold: 9.2d | Trades: 12 | Total: -3.99%
Year: 2020 | AvgRet: -0.34% | AvgHold: 9.2d | Trades: 12 | Total: -3.99%
Year: 2020 | AvgRet: 0.06% | AvgHold: 2.4d | Trades: 8 | Total: 0.49%
Year: 2020 | AvgRet: 0.31% | AvgHold: 1.9d | Trades: 7 | Total: 2.18%
Year: 2020 | AvgRet: -0.15% | AvgHold: 3.5d | Trades: 2 | Total: -0.31%
Year: 2020 | AvgRet: 0.71% | AvgHold: 4.0d | Trades: 7 | Total: 5.05%
Year: 2020 | AvgRet: 3.75% | AvgHold: 30.2d | Trades: 6 | Total: 24.75%
Year: 2020 | AvgRet: 2.16% | AvgHold: 16.5d | Trades: 11 | Total: 26.54%
Year: 2020 | AvgRet: 2.16% | AvgHold: 16.5d | Trades: 11 | Total: 26.54%
