Year: 2021 | AvgRet: 1.47% | AvgHold: 21.6d | Trades: 7 | Total: 10.77%
Year: 2021 | AvgRet: 1.47% | AvgHold: 21.6d | Trades: 7 | Total: 10.77%
Year: 2021 | AvgRet: 1.04% | AvgHold: 1.4d | Trades: 8 | Total: 8.63%
Year: 2021 | AvgRet: 0.65% | AvgHold: 1.5d | Trades: 6 | Total: 3.94%
Year: 2021 | AvgRet: -0.56% | AvgHold: 2.0d | Trades: 2 | Total: -1.11%
Year: 2021 | AvgRet: 0.42% | AvgHold: 2.9d | Trades: 10 | Total: 4.24%
Year: 2021 | AvgRet: 3.48% | AvgHold: 50.0d | Trades: 5 | Total: 18.65%
Year: 2021 | AvgRet: 1.88% | AvgHold: 27.8d | Trades: 9 | Total: 18.23%
Year: 2021 | AvgRet: 1.88% | AvgHold: 27.8d | Trades: 9 | Total: 18.23%
