Year: 2017 | AvgRet: -0.51% | AvgHold: 11.1d | Trades: 8 | Total: -3.98%
Year: 2017 | AvgRet: -0.51% | AvgHold: 11.1d | Trades: 8 | Total: -3.98%
Year: 2017 | AvgRet: -0.12% | AvgHold: 2.1d | Trades: 8 | Total: -0.97%
Year: 2017 | AvgRet: 0.12% | AvgHold: 2.1d | Trades: 7 | Total: 0.84%
Year: 2017 | AvgRet: 0.06% | AvgHold: 1.5d | Trades: 4 | Total: 0.24%
Year: 2017 | AvgRet: 0.26% | AvgHold: 3.4d | Trades: 9 | Total: 2.34%
Year: 2017 | AvgRet: 0.49% | AvgHold: 23.2d | Trades: 5 | Total: 2.45%
Year: 2017 | AvgRet: 0.84% | AvgHold: 18.3d | Trades: 10 | Total: 8.74%
Year: 2017 | AvgRet: 0.84% | AvgHold: 18.3d | Trades: 10 | Total: 8.74%
