Year: 2023 | AvgRet: -1.57% | AvgHold: 9.3d | Trades: 12 | Total: -17.29%
Year: 2023 | AvgRet: -1.57% | AvgHold: 9.3d | Trades: 12 | Total: -17.29%
Year: 2023 | AvgRet: 1.22% | AvgHold: 2.0d | Trades: 7 | Total: 8.84%
Year: 2023 | AvgRet: 0.47% | AvgHold: 1.7d | Trades: 6 | Total: 2.83%
Year: 2023 | AvgRet: 0.07% | AvgHold: 1.5d | Trades: 2 | Total: 0.14%
Year: 2023 | AvgRet: -0.67% | AvgHold: 3.3d | Trades: 9 | Total: -5.87%
Year: 2023 | AvgRet: 0.59% | AvgHold: 32.7d | Trades: 7 | Total: 4.21%
Year: 2023 | AvgRet: 0.41% | AvgHold: 22.9d | Trades: 10 | Total: 4.13%
Year: 2023 | AvgRet: 0.41% | AvgHold: 22.9d | Trades: 10 | Total: 4.13%
