Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 0.39% | AvgHold: 10.1d | Trades: 12 | Total: 4.78%
Year: 2019 | AvgRet: 3.26% | AvgHold: 2.0d | Trades: 1 | Total: 3.26%
Year: 2019 | AvgRet: 0.73% | AvgHold: 1.5d | Trades: 2 | Total: 1.46%
Year: 2019 | AvgRet: 3.56% | AvgHold: 27.6d | Trades: 7 | Total: 27.72%
Year: 2019 | AvgRet: 3.30% | AvgHold: 19.6d | Trades: 11 | Total: 42.97%
Year: 2019 | AvgRet: 3.30% | AvgHold: 19.6d | Trades: 11 | Total: 42.97%
