Year: 2018 | AvgRet: -0.28% | AvgHold: 12.2d | Trades: 4 | Total: -1.12%
Year: 2018 | AvgRet: -0.28% | AvgHold: 12.2d | Trades: 4 | Total: -1.12%
Year: 2018 | AvgRet: 0.48% | AvgHold: 2.0d | Trades: 4 | Total: 1.94%
Year: 2018 | AvgRet: 0.42% | AvgHold: 1.2d | Trades: 4 | Total: 1.71%
Year: 2018 | AvgRet: -0.04% | AvgHold: 1.0d | Trades: 3 | Total: -0.13%
Year: 2018 | AvgRet: 0.00% | AvgHold: 0.0d | Trades: 0 | Total: 0.00%
Year: 2018 | AvgRet: -1.01% | AvgHold: 42.3d | Trades: 3 | Total: -3.01%
Year: 2018 | AvgRet: -0.51% | AvgHold: 21.2d | Trades: 6 | Total: -3.03%
Year: 2018 | AvgRet: -0.51% | AvgHold: 21.2d | Trades: 6 | Total: -3.03%
