Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 7.81% | AvgHold: 20.6d | Trades: 5 | Total: 45.65%
Year: 2020 | AvgRet: 1.72% | AvgHold: 1.3d | Trades: 3 | Total: 5.24%
Year: 2020 | AvgRet: 1.72% | AvgHold: 1.3d | Trades: 3 | Total: 5.24%
Year: 2020 | AvgRet: 15.30% | AvgHold: 50.0d | Trades: 3 | Total: 53.28%
Year: 2020 | AvgRet: 6.14% | AvgHold: 21.9d | Trades: 9 | Total: 70.96%
Year: 2020 | AvgRet: 6.14% | AvgHold: 21.9d | Trades: 9 | Total: 70.96%
