Year: 2024 | AvgRet: 2.42% | AvgHold: 15.4d | Trades: 5 | Total: 12.69%
Year: 2024 | AvgRet: 2.42% | AvgHold: 15.4d | Trades: 5 | Total: 12.69%
Year: 2024 | AvgRet: 0.92% | AvgHold: 3.5d | Trades: 4 | Total: 3.72%
Year: 2024 | AvgRet: 1.42% | AvgHold: 3.0d | Trades: 4 | Total: 5.79%
Year: 2024 | AvgRet: 0.91% | AvgHold: 2.0d | Trades: 2 | Total: 1.83%
Year: 2024 | AvgRet: 1.35% | AvgHold: 3.2d | Trades: 10 | Total: 14.38%
Year: 2024 | AvgRet: 7.29% | AvgHold: 61.3d | Trades: 3 | Total: 23.52%
Year: 2024 | AvgRet: 4.17% | AvgHold: 21.4d | Trades: 9 | Total: 44.45%
Year: 2024 | AvgRet: 4.17% | AvgHold: 21.4d | Trades: 9 | Total: 44.45%
