Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.39% | AvgHold: 9.8d | Trades: 9 | Total: 3.61%
Year: 2018 | AvgRet: 0.87% | AvgHold: 1.2d | Trades: 5 | Total: 4.44%
Year: 2018 | AvgRet: 1.14% | AvgHold: 1.2d | Trades: 4 | Total: 4.66%
Year: 2018 | AvgRet: 0.21% | AvgHold: 28.5d | Trades: 6 | Total: 1.29%
Year: 2018 | AvgRet: 0.19% | AvgHold: 24.4d | Trades: 7 | Total: 1.35%
Year: 2018 | AvgRet: 0.19% | AvgHold: 24.4d | Trades: 7 | Total: 1.35%
