Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.69% | AvgHold: 15.5d | Trades: 6 | Total: 4.23%
Year: 2016 | AvgRet: 0.46% | AvgHold: 2.0d | Trades: 8 | Total: 3.72%
Year: 2016 | AvgRet: 0.18% | AvgHold: 2.1d | Trades: 7 | Total: 1.28%
Year: 2016 | AvgRet: 0.91% | AvgHold: 18.5d | Trades: 8 | Total: 7.50%
Year: 2016 | AvgRet: 0.81% | AvgHold: 16.4d | Trades: 9 | Total: 7.49%
Year: 2016 | AvgRet: 0.81% | AvgHold: 16.4d | Trades: 9 | Total: 7.49%
